query_id	query_length	hit_accession	hit_description	hit_length	e_value	identity	align_length	percent_identity	coverage	query_start	query_end	subject_start	subject_end	strand	Species	mapping_completeness
contig_8505	2471	MN773564	MAG: TTV-like mini virus isolate SAfiA-362-20, partial genome	2934	0.0	2238	2473	90.5	100.08	2	2470	457	2920	plus	TTV-like mini virus	partial genome
contig_8612	2453	PV013322	Betatorquevirus sp. 'homini301' isolate GE-1995-24-0419 ORF1 gene, complete cds	2818	0.0	2346	2421	96.9	98.7	17	2436	231	2649	plus	Betatorquevirus sp. 'homini301'	complete cds
contig_8637	2459	MN771320	MAG: TTV-like mini virus isolate SAfiA-252-10, complete genome	2959	0.0	2283	2447	93.3	99.51	10	2454	218	2653	plus	TTV-like mini virus	complete genome
contig_8872	2403	PV013347	Betatorquevirus sp. 'homini902' isolate GE-1978-24-0196 ORF1 gene, complete cds	2895	0.0	2381	2400	99.21	99.88	1	2400	2647	249	minus	Betatorquevirus sp. 'homini902'	complete cds
contig_8930	2391	BK069255	MAG TPA_asm: Betatorquevirus sp. isolate SRR2037085_NODE_6009 genomic sequence	2623	0.0	2161	2291	94.33	95.82	97	2386	1	2291	plus	Betatorquevirus sp.	genomic sequence
contig_9065	2365	MN769592	MAG: TTV-like mini virus isolate SAfiA-600-2, complete genome	2919	0.0	2153	2239	96.16	94.67	1	2239	136	2372	plus	TTV-like mini virus	complete genome
contig_9099	2360	MN770897	MAG: TTV-like mini virus isolate SAfiA-421-14, complete genome	2909	0.0	1910	2123	89.97	89.96	96	2217	2779	661	minus	TTV-like mini virus	complete genome
contig_9163	2348	MN772004	MAG: TTV-like mini virus isolate SAfiA-888-5, partial genome	2732	0.0	2301	2332	98.67	99.32	1	2332	401	2732	plus	TTV-like mini virus	partial genome
contig_9281	2327	MN773382	MAG: TTV-like mini virus isolate SAfiA-68-15, partial genome	2696	0.0	1850	1879	98.46	80.75	449	2327	2416	538	minus	TTV-like mini virus	partial genome
contig_9335	2321	PV013320	Betatorquevirus sp. 'homini202' isolate GE-1979-24-0403 ORF1 gene, complete cds	2846	0.0	2320	2321	99.96	100.0	1	2321	432	2752	plus	Betatorquevirus sp. 'homini202'	complete cds
contig_9359	2317	MN770843	MAG: TTV-like mini virus isolate SAfiA-572-28, complete genome	2860	0.0	2280	2317	98.4	100.0	1	2317	2770	455	minus	TTV-like mini virus	complete genome
contig_9565	2285	MN768620	MAG: Torque teno mini virus isolate SAfiA-687-33, complete ORF1	2517	0.0	2152	2286	94.14	100.04	1	2285	2408	124	minus	Torque teno mini virus	complete ORF
contig_9685	2269	MN773768	MAG: TTV-like mini virus isolate SAfiA-584-9, partial genome	2925	0.0	2136	2263	94.39	99.74	3	2265	494	2756	plus	TTV-like mini virus	partial genome
contig_9781	2256	PV013218	Alphatorquevirus homin5 isolate GE-1992-24-0149 ORF1 gene, complete cds	3755	0.0	2236	2238	99.91	99.2	13	2249	758	2995	plus	Alphatorquevirus homin5	complete cds
