"","Contig","total_PA"
"457","virus_comp_17111_cycle_1",4
"458","virus_comp_17119_cycle_1",4
"459","virus_comp_17152_cycle_1",4
"460","virus_comp_17167_cycle_1",4
"461","virus_comp_17173_cycle_1",4
"462","virus_comp_17174_cycle_1",4
"463","virus_comp_17179_cycle_1",4
"464","virus_comp_17184_cycle_1",4
"465","virus_comp_17205_cycle_1",4
"466","virus_comp_17218_cycle_1",4
"467","virus_comp_17223_cycle_1",4
"468","virus_comp_17255_cycle_1",4
"469","virus_comp_17282_cycle_1",4
"470","virus_comp_17283_cycle_1",4
"471","virus_comp_17305_cycle_1",4
"472","virus_comp_17334_cycle_1",4
"473","virus_comp_17344_cycle_1",4
"474","virus_comp_17361_cycle_1",4
"475","virus_comp_17369_cycle_1",4
"476","virus_comp_17383_cycle_1",4
"477","virus_comp_17400_cycle_1",4
"478","virus_comp_17403_cycle_1",4
"479","virus_comp_17404_cycle_1",4
"480","virus_comp_17418_cycle_1",4
"481","virus_comp_17454_cycle_1",4
"482","virus_comp_1748_cycle_1",4
"483","virus_comp_17483_cycle_1",4
"484","virus_comp_17486_cycle_1",4
"485","virus_comp_17495_cycle_1",4
"486","virus_comp_17521_cycle_1",4
"487","virus_comp_17522_cycle_1",4
"488","virus_comp_17531_cycle_1",4
"489","virus_comp_1758_cycle_1",4
"490","virus_comp_17591_cycle_1",4
"491","virus_comp_17595_cycle_1",4
"492","virus_comp_17602_cycle_1",4
"493","virus_comp_17608_cycle_1",4
"494","virus_comp_17611_cycle_1",4
"495","virus_comp_17613_cycle_1",4
"496","virus_comp_17665_cycle_1",4
"497","virus_comp_17680_cycle_1",4
"498","virus_comp_17696_cycle_1",4
"499","virus_comp_17766_cycle_1",4
"500","virus_comp_17777_cycle_1",4
"501","virus_comp_17826_cycle_1",4
"502","virus_comp_17889_cycle_1",4
"503","virus_comp_17936_cycle_1",4
"504","virus_comp_17946_cycle_1",4
"505","virus_comp_17982_cycle_1",4
"506","virus_comp_17991_cycle_1",4
"507","virus_comp_18007_cycle_1",4
"508","virus_comp_18100_cycle_1",4
"509","virus_comp_18108_cycle_1",4
"510","virus_comp_18141_cycle_1",4
"511","virus_comp_183_cycle_1",4
"512","virus_comp_1943_cycle_1",4
"513","virus_comp_1968_cycle_1",4
"514","virus_comp_222_cycle_1",4
"515","virus_comp_2253_cycle_1",4
"516","virus_comp_2254_cycle_1",4
"517","virus_comp_2264_cycle_1",4
"518","virus_comp_23_cycle_1",4
"519","virus_comp_240_cycle_1",4
"520","virus_comp_2415_cycle_1",4
"521","virus_comp_246_cycle_1",4
"522","virus_comp_2606_cycle_1",4
"523","virus_comp_2640_cycle_1",4
"524","virus_comp_265_cycle_1",4
"525","virus_comp_266_cycle_1",4
