"","T0-72","T0-66","T0-60","T0-54","T0-48","T0-42","T0-36","T0-30","T0-24","T0-18","T0-12","T0-6","T0"
"virus_comp_10749_cycle_1_2",-2.60088726725628,-2.37406956626107,-2.1048168756521,-1.77351080926855,-1.80764428338831,-1.76032171774981,-2.49595609634896,-2.47790369861185,-2.07097815809353,-2.20536808729317,-0.819636322395967,-0.681067728912189,0.548350650153417
"virus_comp_1105_cycle_1_1",-1.18791166953806,0.0122640010025383,1.19868351264569,1.84079171886297,-4.61234541434991,-4.90250396728966,-4.29268967359209,-4.53773629301265,-4.06898697876101,-4.39995503513182,2.70985289398264,5.17430104644096,3.6431243439204
"virus_comp_62_cycle_1_55",-2.28303570122426,-0.800019542933108,1.75905373306546,2.70280061138306,-2.39063870060168,-1.05459030957187,3.56831218481886,3.9327943863883,4.16446136697848,4.75005434625939,4.54996241265041,4.78532522539302,4.93041707426437
"virus_comp_2139_cycle_1_3",-3.08808879106062,-2.92136157509312,-2.73281754799154,-2.51587512288746,-2.85426604178347,-2.75938045841294,-2.95335366584883,-2.94876796388629,-2.35113224369296,-2.48221937078735,-1.75356075667166,0.310063162718314,0.206438713200593
"virus_comp_729_cycle_1_65",-1.46042290175833,-2.00334109700969,-2.39688784893048,-2.70576613420352,-1.34150790252445,0.277298317582783,-1.69187322932735,-1.91616602858059,-2.7969398540689,-2.46002815736389,-3.1501702733114,-3.13162037526115,-3.44311078804696
"virus_comp_4442_cycle_1_5",4.7358052868298,4.74750264640505,4.75910592617174,4.77061662739821,-1.74953413808261,-3.49917648409507,0.995062240191889,-1.74523582749937,2.6457325152675,-3.14043573372468,-2.91963731332033,-4.21482553360242,-3.29394067987391
"virus_comp_301_cycle_1_68",7.42228100228845,7.32946485134331,7.23026425161388,7.12373557465949,7.10082725778372,6.92148396803206,6.60507879925377,6.436448104161,6.43895829651519,6.38410811932832,6.20537163127109,5.33194273301107,5.25130701236796
"virus_comp_301_cycle_1_1",8.24658625400354,8.13925429262926,8.0232907059662,7.89718481239173,7.58635428270312,7.28609158303256,7.03493169164914,6.70844779695572,6.62618888948633,6.37229604926767,5.95373484591168,4.29544354837028,2.67827577002427
"virus_comp_155_cycle_2_98",-8.23558594632846,-7.9488370658793,-7.59058995033746,-7.11291196436972,-6.2069923951374,-5.71899782051189,-7.70686236096934,-7.6265608757606,-6.00446973299279,-7.1402502138001,4.66860155544573,-3.18492887200289,6.4550682084081
"virus_comp_1102_cycle_1_6",1.41340505773538,1.22144196716789,0.999958361129248,0.738195335676447,-0.40658223451698,-0.689066139724497,-2.27955644211653,-2.58650990483648,-2.46495860912198,-2.9907594532316,2.6487396495892,3.73429976836353,-6.03548149991431
"edge_1847_31",6.47448189663732,6.26910814578692,6.02956756049771,5.74217805416002,6.66947223361204,6.64650002500955,5.88602747748052,5.77354803788549,5.27957123649686,3.67560305488696,4.01339914357162,1.1767235645345,-3.27192471263705
"virus_comp_155_cycle_2_111",-5.76853193615648,-5.414696846072,-4.94486094872756,-4.24363203730597,6.66825658075875,6.94983754544219,-2.96037076284473,-2.28268518750305,5.07225377871067,-5.50072398092986,5.25433955746453,1.22239213977313,5.4058052240248
"virus_comp_2438_cycle_1_15",-4.66647907569789,-4.84223032260143,-4.99887753062487,-5.14016969626346,0.684744696981217,3.36425135544783,-5.37995470484885,-5.57914795241489,-6.44909686245312,-5.87850411593123,-5.54682464614733,-5.19178589581385,-5.80089495177287
"virus_comp_1314_cycle_1_8",-2.8919463442048,-2.93438818235623,-2.97561704664233,-3.01570034774125,-1.77005783888405,-0.798938557894651,-1.3335347971131,-0.922073260195879,-1.75373799209966,-1.49649239694355,-1.79701156213493,-1.4718196724178,-1.75804457774943
"virus_comp_18162_cycle_1_5",-2.26617747268456,2.17918946564312,3.56905955794497,4.26362853010926,-3.16871588780783,-1.14091033772206,4.94218850614782,5.24372315255556,5.51637494206017,5.98118208410046,5.77113616686147,6.02202714137351,6.18683975992235
