,logFC,AveExpr,t,P.Value,adj.P.Val,B
edge_1515_32,0.0781626400531647,0.279465762164648,4.20110446699802,8.57275645817886e-05,0.000653234015497488,1.24729666369925
virus_comp_126_cycle_1_51,0.0934788881331103,0.284990551271013,4.43076729000721,9.96015905242187e-05,0.000709185095371896,1.22869934017747
virus_comp_8731_cycle_1_4,0.0691115781224666,0.207746796757201,4.32264876469455,9.38920689539258e-05,0.000683471317580812,1.22687134431299
virus_comp_169_cycle_1_7,0.116337646569617,0.716220966277892,4.4492852482566,0.00010570808451597,0.000733948316825804,1.22373993205372
virus_comp_138_cycle_1_2,0.121220402762547,0.915805297839244,4.41319143539518,0.00010478787603804,0.00073145679898696,1.22301626748576
virus_comp_6955_cycle_1_4,0.0978139847552894,0.339582806803199,4.26085678438715,9.30321524826854e-05,0.000681486460059344,1.21409800128384
virus_comp_17732_cycle_1_1,0.102212444441142,0.571665601078932,4.41167540746705,0.000105247510800361,0.000732207321063863,1.20902686385284
virus_comp_155_cycle_2_155,0.0752275853426752,0.520940497262871,4.41940892087413,0.000102923460742441,0.000723611165543528,1.20899650839684
edge_1512_47,0.0918249002360223,0.258605433553981,4.27496509452169,9.37078260243399e-05,0.000683402783449897,1.2075207844431
virus_comp_18200_cycle_1_4,0.0822898183929378,0.290619796090161,4.56163126548799,0.000110258937967068,0.000756144190374153,1.20416676828623
virus_comp_391_cycle_1_22,0.0730917681044666,0.234836062129625,4.53494157320418,0.000109345272016264,0.000751196253623159,1.20139063814509
virus_comp_3_cycle_1_7,0.0619916457951393,0.311991211424161,4.09555025893553,8.4211745852638e-05,0.000651903092873276,1.19919827689133
virus_comp_808_cycle_4_35,0.0781819125170336,0.604872175703824,4.12372330520498,8.67261822758994e-05,0.000659557678047648,1.19161049011276
virus_comp_62_cycle_1_7,0.0550796371311545,0.33170754790239,4.07913251587364,8.46621081268052e-05,0.000651903092873276,1.18930259771833
virus_comp_163_cycle_1_25,0.0775420502914636,0.500497908045066,4.57703686338935,0.000115248181241567,0.00077663175085878,1.18651868812329
edge_4_55,0.0837824438363471,0.482714676889435,4.03630375558273,8.32171752088131e-05,0.000648083435639736,1.18639030191627
virus_comp_1470_cycle_1_2,0.0579627938253028,0.2356596737622,4.20089894835963,9.34403367828003e-05,0.00068272575043732,1.1719416409777
virus_comp_2063_cycle_1_3,0.0890181615518408,0.543272838639507,4.91015047848147,0.00014097950991065,0.000894624844546641,1.15379028955517
virus_comp_126_cycle_1_192,0.0908011367149511,0.329733445920327,4.4023953957838,0.000108104717055846,0.000747850605878372,1.15373487684678
virus_comp_733_cycle_1_1,0.063691016053131,0.231095257193459,4.14860626037789,9.30963851807852e-05,0.000681486460059344,1.14710028538556
virus_comp_1935_cycle_1_1,0.0636843123580325,0.389474857670506,4.10466085800652,9.13281205662489e-05,0.000680003091987556,1.14467975710784
virus_comp_2527_cycle_1_12,0.0953136747609068,0.902354070650053,4.00911227316549,8.99819170621024e-05,0.000674779891222791,1.14116589463399
virus_comp_3264_cycle_1_1,0.109782359151345,0.442675833204551,4.58193085690408,0.000124490844080826,0.000817873461364623,1.14047007409608
