"orf_id","mean_abundance","prevalence","max_abundance","cv","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","direction","celiac_direction","abundance_class","prevalence_class"
"virus_comp_1133_cycle_1_5",1099.28431372549,0.0751633986928105,282345,14.7786310835388,0.0287574533877423,1.88192848427041,1.42978771599251,0.15397186058272,0.164430038520168,-5.40509086871052,FALSE,"Higher_in_CONTROL","Decreased_in_CELIAC","High","Rare"
"virus_comp_1133_cycle_1_7",654.264705882353,0.0588235294117647,180470,15.7986128182507,0.0352739184389593,1.71782687382638,1.91761512597352,0.056494703277259,0.0640471530837978,-4.62790504025166,FALSE,"Higher_in_CONTROL","Decreased_in_CELIAC","High","Rare"
"virus_comp_1135_cycle_1_2",785.143790849673,0.042483660130719,219269,16.027017997772,0.046979113057242,1.5940521681393,2.54513112625588,0.0115888097903806,0.0159809835393597,-3.300766751194,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","High","Rare"
"virus_comp_1135_cycle_1_3",2473.20261437908,0.0392156862745098,649105,15.1683388833395,0.0433775807665862,1.66630872217967,2.26290320449163,0.0244378187288048,0.0301829481317922,-3.94309325287535,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","High","Rare"
"virus_comp_11443_cycle_1_1",1.38888888888889,0.0294117647058824,197,9.58551530208771,0.0615308904562173,1.41893658970934,3.65979718562252,0.000309006325995518,0.00101773643148983,-0.0523114329758192,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Low","Rare"
"virus_comp_11683_cycle_1_1",4.09803921568627,0.0294117647058824,515,8.58287812148772,0.046265171990534,1.47229725970164,2.30571531839884,0.02251135603831,0.0279962245418705,-3.86429563277729,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Low","Rare"
"virus_comp_1171_cycle_1_7",4.76143790849673,0.0326797385620915,1289,15.4913223305538,0.045414889161412,1.44049880463369,3.01752776925148,0.0027658566728831,0.00517606887349279,-2.03955738442694,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Medium","Rare"
"virus_comp_1171_cycle_1_8",0.581699346405229,0.0294117647058824,48,7.70848050892956,0.0539376469965059,1.3977715870473,3.29820763722553,0.00108243158050929,0.00250974986481918,-1.2040179589251,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Low","Rare"
"virus_comp_1173_cycle_1_11",2.76797385620915,0.042483660130719,444,10.3534593507168,0.0437840566406116,1.48550755429181,2.45408613036612,0.0146714907372303,0.0193970632452334,-3.49833964599009,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Low","Rare"
"virus_comp_1173_cycle_1_5",13.5686274509804,0.0588235294117647,2878,12.2497212225869,0.0528280682323263,1.65142034916301,2.68715839350373,0.00760770137337162,0.0115645651081457,-2.91942397611589,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Medium","Rare"
