"","T0.72","T0.66","T0.60","T0.54","T0.48","T0.42","T0.36","T0.30","T0.24","T0.18","T0.12","T0.6","T0"
"virus_comp_18206_cycle_1_7",-5.57992367530084,-5.31962631192367,-5.00179406907412,-4.59355725481484,-4.36034058915777,-4.33598959227601,1.61781043432227,3.53046827888211,3.9731129462298,4.64928016631153,5.30851793348291,5.93050417786719,6.11190938886685
"virus_comp_1131_cycle_2_28",-6.72127240158603,-6.4412651749527,-6.09349747348406,-5.63433811788591,-4.94414347074737,-0.753541199723175,3.9731663882505,5.08521436784335,6.08471213181358,6.54621898975216,6.58346298000233,6.6579190927013,6.85365145494289
"virus_comp_17849_cycle_1_14",-6.06110507517006,-5.7476156093678,-5.34653372266384,-4.78908387153872,-4.40996467227372,1.19170322197169,3.93976786353728,4.74110496774573,5.6981103075245,6.01903984019039,6.07807663039338,6.24800764182584,6.3922870394702
"virus_comp_2283_cycle_1_2",-8.4593387700798,-7.9920670994666,-7.29659562632681,-5.90289164851941,-5.53485007682482,-5.21619502660585,6.12569944055828,7.52064911333287,8.15248367567987,8.73920718955114,9.04671196847074,9.13016863813638,9.40269266430041
"virus_comp_2923_cycle_1_8",-6.5840561477817,-6.32631363376593,-6.01228715807341,-5.61032360713634,-5.12283405624979,-4.91814164669912,3.50727447309042,4.83727233530704,5.16958745060102,5.7556773719925,6.36098214889982,6.96734431625697,7.13676161323897
"virus_comp_1613_cycle_1_3",-7.59568289048431,-7.28270597004638,-6.88246477363943,-6.32664726240784,-5.96184255362837,0.683726921374823,5.30679885567024,6.17861357925641,7.18022736926072,7.51043390752571,7.5731288500365,7.74685370788521,7.8951018514892
"virus_comp_2923_cycle_1_2",-6.85523669458235,-6.58787540863444,-6.25943256392027,-5.83347134424318,-5.31176498294507,-5.13937731801214,4.27124470546963,5.3603855548128,5.61187874636468,6.17167913649218,6.76389921624793,7.37764634226887,7.53628996236313
"virus_comp_18206_cycle_1_5",-6.5679016855825,-6.30639698098076,-5.98676040106933,-5.57553402360672,-5.12446891129342,-4.97127580594825,3.56655118947807,4.86629826920415,5.17914471923731,5.77177214228688,6.38326769155596,6.99726590375434,7.1643454416355
"virus_comp_155_cycle_1_154",-8.23605461898122,-7.81036533694125,-7.2038603927556,-6.13723304382053,-7.09612412547854,-6.46489540511314,-4.38814316148234,4.00515826697266,7.26499995414225,7.37758783617533,7.96943657812377,8.08332489880139,8.51920643827247
"virus_comp_722_cycle_1_56",-4.37096247895567,-3.99980016514553,-3.49877717133334,-2.72475114894537,-4.01498166784563,-3.86080221501273,-2.47022657494289,-1.57267035277676,3.2384945427945,3.68854660419383,4.00161061964789,4.16770877007671,4.46882817439181
