"contig_id","contrast","onset_timeline_combined","estimate","SE","df","z.ratio","p.value","odds_ratio","conf.low.OR","conf.high.OR","p.adj"
"virus_comp_1069_cycle_1","CELIAC - CONTROL","t0-12",-32.541026875165,NA,Inf,NA,NA,7.37244587158636e-15,NA,NA,NA
"virus_comp_1069_cycle_1","CELIAC - CONTROL","t0-18",-15.7536093726133,NA,Inf,NA,NA,1.43977417495932e-07,NA,NA,NA
"virus_comp_1069_cycle_1","CELIAC - CONTROL","t0-24",-34.2604256455724,NA,Inf,NA,NA,1.32094943810499e-15,NA,NA,NA
"virus_comp_1069_cycle_1","CELIAC - CONTROL","t0-30",28.6028368185135,NA,Inf,NA,NA,2642738532916.77,NA,NA,NA
"virus_comp_1069_cycle_1","CELIAC - CONTROL","t0-36",34.0965295572354,NA,Inf,NA,NA,642591000209090,NA,NA,NA
"virus_comp_1069_cycle_1","CELIAC - CONTROL","t0-over42",24.1348561848158,NA,Inf,NA,NA,30313414819.9472,NA,NA,NA
"virus_comp_11_cycle_1","CELIAC - CONTROL","t0",86.7537748833432,NA,Inf,NA,NA,4.74991366724025e+37,NA,NA,NA
"virus_comp_11_cycle_1","CELIAC - CONTROL","t0-6",50.6727570454921,NA,Inf,NA,NA,1.01601183694325e+22,NA,NA,NA
"virus_comp_11_cycle_1","CELIAC - CONTROL","t0-12",-46.9072850890097,NA,Inf,NA,NA,4.25035225854557e-21,NA,NA,NA
"virus_comp_11_cycle_1","CELIAC - CONTROL","t0-18",331.139986753431,NA,Inf,NA,NA,6.4903629605881e+143,NA,NA,NA
"virus_comp_11_cycle_1","CELIAC - CONTROL","t0-24",-28.6204409135567,NA,Inf,NA,NA,3.71792343254417e-13,NA,NA,NA
"virus_comp_11_cycle_1","CELIAC - CONTROL","t0-30",-210.101073814085,NA,Inf,NA,NA,5.67888403868553e-92,NA,NA,NA
"virus_comp_11_cycle_1","CELIAC - CONTROL","t0-36",-75.7460854187713,NA,Inf,NA,NA,1.27026132882661e-33,NA,NA,NA
"virus_comp_11_cycle_1","CELIAC - CONTROL","t0-over42",-69.0503568498459,NA,Inf,NA,NA,1.02756912490849e-30,NA,NA,NA
"virus_comp_1105_cycle_1","CELIAC - CONTROL","t0",-5.47081622859487,NA,Inf,NA,NA,0.0042077962323312,NA,NA,NA
"virus_comp_1105_cycle_1","CELIAC - CONTROL","t0-6",-2.22131158683142,NA,Inf,NA,NA,0.108466751925176,NA,NA,NA
"virus_comp_1105_cycle_1","CELIAC - CONTROL","t0-12",-7.53623128228575,NA,Inf,NA,NA,0.000533404087956254,NA,NA,NA
"virus_comp_1105_cycle_1","CELIAC - CONTROL","t0-18",-36.2992258830701,NA,Inf,NA,NA,1.71967549071213e-16,NA,NA,NA
"virus_comp_1105_cycle_1","CELIAC - CONTROL","t0-24",-8.45907287756997,NA,Inf,NA,NA,0.000211968500353518,NA,NA,NA
"virus_comp_1105_cycle_1","CELIAC - CONTROL","t0-30",-39.2464804893583,NA,Inf,NA,NA,9.0254754523711e-18,NA,NA,NA
"virus_comp_1105_cycle_1","CELIAC - CONTROL","t0-36",-14.9097605831375,NA,Inf,NA,NA,3.34790597338849e-07,NA,NA,NA
"virus_comp_1105_cycle_1","CELIAC - CONTROL","t0-over42",-18.8179437070143,NA,Inf,NA,NA,6.72157249862399e-09,NA,NA,NA
"virus_comp_1133_cycle_1","CELIAC - CONTROL","t0",1.31396248588992,NA,Inf,NA,NA,3.72088850758148,NA,NA,NA
"virus_comp_1133_cycle_1","CELIAC - CONTROL","t0-6",-1.05885980746199,NA,Inf,NA,NA,0.346851061948399,NA,NA,NA
"virus_comp_1133_cycle_1","CELIAC - CONTROL","t0-12",11.7905852123183,NA,Inf,NA,NA,132003.697470753,NA,NA,NA
"virus_comp_1133_cycle_1","CELIAC - CONTROL","t0-18",49.4149887764176,NA,Inf,NA,NA,2.88839742339734e+21,NA,NA,NA
"virus_comp_1133_cycle_1","CELIAC - CONTROL","t0-24",-2.89854320656275,NA,Inf,NA,NA,0.0551034359370794,NA,NA,NA
"virus_comp_1133_cycle_1","CELIAC - CONTROL","t0-30",-45.5569845809568,NA,Inf,NA,NA,1.6400345011873e-20,NA,NA,NA
"virus_comp_1133_cycle_1","CELIAC - CONTROL","t0-36",-23.8980157827259,NA,Inf,NA,NA,4.18045561837785e-11,NA,NA,NA
"virus_comp_1133_cycle_1","CELIAC - CONTROL","t0-over42",-4.5391140877871,NA,Inf,NA,NA,0.0106828664444396,NA,NA,NA
"virus_comp_11746_cycle_1","CELIAC - CONTROL","t0",123.078179266117,NA,Inf,NA,NA,2.83252725872988e+53,NA,NA,NA
"virus_comp_11746_cycle_1","CELIAC - CONTROL","t0-6",132.844396978346,NA,Inf,NA,NA,4.93842610241782e+57,NA,NA,NA
"virus_comp_11746_cycle_1","CELIAC - CONTROL","t0-12",185.68307224467,NA,Inf,NA,NA,4.37656777918935e+80,NA,NA,NA
