OGRD01000043	OGRD01000043,sample-1_19_96211,SRS011084_NODE_220_length_95221_cov_30.7473,ERR589511_NODE_212_length_96153_cov_11.9872,OLRJ01000083,ERR589736_NODE_271_length_93891_cov_9.13972,ERR589532_NODE_103_length_94606_cov_18.1916,ERR589788_NODE_122_length_95274_cov_10.0565,OLPO01000070,ERR589742_NODE_210_length_93989_cov_9.62045,OHBE01000089,OWIQ01000031,3300008479_____Ga0114883_1000181,OLRW01000062,3300007921_____Ga0111562_100099,OGOO01000132,3300007796_____Ga0105889_100147,3300007298_____Ga0104838_100096,Long_crAss_ms_5,ERR589503_NODE_260_length_95985_cov_44.2112,3300007296_____Ga0104830_100137,ERR589804_NODE_183_length_96082_cov_14.9851,F7_NODE_3_length_95675_cov_221.603744,OBAE01000105,OLVO01000096,16T1_lib200772_4,OJQL01000115,ERR589826_NODE_120_length_94996_cov_27.1679,OLNP01000086,OLVT01000100,ERR589800_NODE_173_length_93705_cov_28.9131,3300008132_____Ga0111230_1000069,ERR589852_NODE_269_length_93435_cov_9.78746,OLFY01000196,ERR589587_NODE_208_length_94701_cov_61.0326,Sib1_ms_4,MZ130489_1_95815,OIWM01000114,OGCM01000239,OJPT01000035,OLFT01000163,OLNO01000079,OLND01000117,OGTL01000065,OLSO01000074,OLQL01000089,OKSB01000078,SRS048164_NODE_142_length_95873_cov_10.9415,OGXT01000133,3300007105_____Ga0102630_100105,OCHL01000111
EM181_T3_ms_1	EM181_T3_ms_1,MZ130484_1_97536,OLPB01000029,OIWL01000160,OLSC01000143,SRS143417_NODE_148_length_97094_cov_7.69295,sample-1_17_96846,B7_NODE_1_length_96266_cov_47.336375,OLWC01000038,OJNQ01000029,OBAR01000155,OGOL01000109
MT774397_1_97290	MT774397_1_97290
3300008513_____Ga0111022_100109	3300008513_____Ga0111022_100109,HvCF_D5_ms_4,SRS145497_NODE_97_length_94933_cov_72.765,MZ130479_1_96466,NG-14571_96_NODE_2_length_96466_cov_151.499,OJMP01000070
MT774409_1_96717	MT774409_1_96717
OLRZ01000056	OLRZ01000056,MT774392_1_95150
SRR4295175_ms_5	SRR4295175_ms_5,OLFZ01000108,MN917146_1_93030,OBKI01000059,Sib2_ms_2,sample-1_241_22966,sample-1_4409_1266
MT774400_1_96055	MT774400_1_96055
MH616963_1_94878	MH616963_1_94878
MT774408_1_94826	MT774408_1_94826
