"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"virus_comp_126_cycle_1_104",-3.73100981598775,0.256678037377134,-3.21411552697848,0.00230723561681348,0.00612702719166024,-1.48644965008693
"edge_284_18",-4.16314344215484,0.337535462335306,-3.16197528383033,0.00231244704426802,0.00613579361113859,-1.51185520787838
"virus_comp_2211_cycle_1_8",-4.10638814322917,0.314407296498373,-3.38602414306575,0.00231367607644366,0.00613579361113859,-1.40785178065728
"virus_comp_609_cycle_1_4",-3.82485329813905,0.356501418438178,-3.41572061133763,0.00232732413738234,0.00616780342578139,-1.39920838997084
"virus_comp_62_cycle_1_14",-3.87739859308168,0.268455854255136,-3.29623424112777,0.00232958345831666,0.00616960822395651,-1.45136666024017
"virus_comp_1260_cycle_2_17",-4.30679034013765,0.410372828062616,-3.13053698965654,0.002336163191778,0.00618124108757704,-1.53629376655373
"virus_comp_3811_cycle_1_8",-3.80708648792602,0.2547783852623,-3.12944871144739,0.00233713848233279,0.00618124108757704,-1.54015514511355
"virus_comp_18153_cycle_1_5",-4.1513888196839,0.737132437931138,-3.4519910230015,0.00234091019209637,0.00618703038600723,-1.39007510022745
"virus_comp_155_cycle_2_120",-4.02568652048619,0.395504236983682,-3.52731378533919,0.00234374551381343,0.00619033865776804,-1.35989915539316
"virus_comp_808_cycle_4_2",-3.93980884976752,0.666161204847988,-3.1410885481098,0.00234697073156493,0.00619467156629799,-1.52979121832076
"virus_comp_4442_cycle_1_3",-5.13173993996858,0.358140265643823,-3.22313868895923,0.00234977238730353,0.00619788141833299,-1.49306002101061
"virus_comp_2343_cycle_1_7",-3.81147306920568,0.451302655701926,-3.42906146320924,0.00235584690309217,0.00620971378569608,-1.40205307886106
"virus_comp_16658_cycle_1_2",-4.20587085024619,0.277575385417532,-3.2259225644109,0.00235986884719557,0.00621612353348213,-1.49422526979946
"edge_959_24",-3.74789133959842,0.330407428814558,-3.26901229973392,0.0023621254542558,0.00621787771089961,-1.4740706175597
"virus_comp_3620_cycle_1_1",-3.48153756331728,0.428704381847738,-3.13066430087555,0.00236426289388879,0.0062193160512862,-1.54363331326766
"virus_comp_551_cycle_1_18",-3.73930536721851,0.271430590710327,-3.52241910055456,0.00236959530560218,0.00622915134472018,-1.37026155767767
"virus_comp_808_cycle_4_9",-3.83278058864636,0.420378906275578,-3.2241377039261,0.00237178883817762,0.00623072753255129,-1.49788116166144
"edge_4_55",-3.97068327903033,0.482714676889435,-3.10150824146413,0.00237499866910841,0.00623085893640087,-1.55860289636747
"virus_comp_720_cycle_1_13",-4.3250690189637,0.245222327033235,-3.32591379698933,0.00237502681382382,0.00623085893640087,-1.45132424396681
"virus_comp_426_cycle_1_2",-4.19850121702559,0.209626361172324,-3.39022099488007,0.0023781849657657,0.0062349597794622,-1.42463309323099
"edge_48732_18",-4.2333557416474,0.312792720488899,-3.3145676708459,0.00238211808117284,0.0062363690357289,-1.45832219876804
"virus_comp_17995_cycle_1_15",-4.03159392880126,0.21874164527914,-3.25290816735961,0.00238461732954678,0.0062363690357289,-1.48786843525469
"edge_294_48",-5.19236341913083,0.385522455162469,-3.18124894212435,0.00238476360200886,0.0062363690357289,-1.52476046192671
"virus_comp_197_cycle_1_84",-4.1491010874399,0.601737656567598,-3.17365061483581,0.00238510404410712,0.0062363690357289,-1.52439484497183
"virus_comp_9525_cycle_1_3",-3.7633035591576,0.211759174285981,-3.44336726455281,0.00238921690216074,0.00624294710598016,-1.40676101294474
"edge_1632_5",-3.67559104146881,0.253005197094746,-3.1913847275245,0.00239400180526026,0.00625127124700224,-1.52209787516392
"virus_comp_1171_cycle_1_16",-4.00368682078545,0.33659021145386,-3.12875460469574,0.00241023004178139,0.00628944541610378,-1.5557335060388
"virus_comp_6037_cycle_1_5",-3.73188063841521,0.286511099639622,-3.29144718428362,0.00241237868504924,0.00629085275507505,-1.47833442041181
"virus_comp_1260_cycle_2_10",-4.30828814347687,0.322154868060605,-3.13172629652652,0.00241468547976376,0.00629267036026436,-1.55780342932845
"virus_comp_174_cycle_1_4",-3.76971782072684,0.762334333163311,-3.14892788146762,0.0024295581918486,0.0063243321747573,-1.55623568576344
"virus_comp_155_cycle_1_50",-4.41872200789319,0.506545516268576,-3.45815232288669,0.00243177938701933,0.0063243321747573,-1.41581775244529
"virus_comp_3236_cycle_1_11",-3.92065970598924,0.177494444534583,-3.16240530759958,0.00243226445854381,0.0063243321747573,-1.54775933013376
"edge_16_17",-3.67457908251241,0.436668074359973,-3.17175321659772,0.00243330662339089,0.0063243321747573,-1.54078843949479
"edge_48732_19",-4.28822137480997,0.355650509177041,-3.30505322543254,0.00244216838764344,0.00634314699488254,-1.47935764843639
"virus_comp_155_cycle_2_94",-4.02666289087679,0.402008659623831,-3.50779527642514,0.00244851897381667,0.0063554187706835,-1.39740650877246
"edge_2658_1",-3.79035547520961,0.676313199102869,-3.0951587508429,0.00245105688353565,0.00635778457713395,-1.59039138817227
"virus_comp_195_cycle_1_107",-4.24152786594064,0.303571145264193,-3.47852352541608,0.00245666052650255,0.00636809416319527,-1.41215348853539
"edge_2143_2",-4.24186289675215,0.312752552342005,-3.28366788826622,0.00246270562112245,0.0063758148942911,-1.49542749896497
"virus_comp_230_cycle_1_124",-3.6303282387911,0.549586563536079,-3.45243131980615,0.00246438383782856,0.0063758148942911,-1.42412660413136
"virus_comp_2915_cycle_1_4",-4.21575888707,0.571242930109024,-3.10776895941903,0.00246453218349293,0.0063758148942911,-1.58132465363464
"virus_comp_36_cycle_2_30",-3.81816676604894,0.20981836945755,-3.40959752232371,0.00246868132520078,0.00638232493400123,-1.44205171070442
"virus_comp_11_cycle_1_11",-3.71185119396751,0.532875423688657,-3.12254890045455,0.00247371127039195,0.00638521377648498,-1.57752166711715
"virus_comp_2402_cycle_1_10",-4.28352070701928,0.220783473236011,-3.29069062591774,0.00247412987845346,0.00638521377648498,-1.49478734845521
"edge_48662_23",-5.38237889602833,0.404208327691685,-3.26593788903173,0.00247469912288942,0.00638521377648498,-1.51719026243
"edge_187_7",-4.4451100292294,0.548034024994424,-3.10556607364962,0.00248771267253299,0.00641455728029779,-1.5926310279115
"virus_comp_150_cycle_1_63",-3.83216748361223,0.387305350337834,-3.29772585761127,0.0024894029596743,0.00641468435686674,-1.4971842471556
"virus_comp_613_cycle_1_13",-3.6136609057353,0.328406074108783,-3.16333371345234,0.00249390506271106,0.00641500984872454,-1.56051297067766
"virus_comp_6059_cycle_1_4",-3.74448605069371,0.81000670831249,-3.13832564754348,0.00249467226194388,0.00641500984872454,-1.5805093692625
"edge_284_1",-4.25282842130332,0.332399910157484,-3.12213934520711,0.00249527828038962,0.00641500984872454,-1.58441168600453
"virus_comp_18132_cycle_1_2",-4.32828834112474,0.556208531013429,-3.28733430587472,0.002496093624945,0.00641500984872454,-1.50391856537721
"virus_comp_875_cycle_1_8",-4.08288671099837,0.261771885525351,-3.32880104458304,0.00249897441343984,0.00641819381217894,-1.48444549106188
"virus_comp_808_cycle_4_15",-3.96142564501649,0.630116444840887,-3.1550973958002,0.00250157831564926,0.00642066292572091,-1.56517822579969
"edge_48732_28",-4.2197594790987,0.385850407676281,-3.28583641038572,0.00250595604532084,0.00642236666219467,-1.50520890712088
"virus_comp_1562_cycle_1_8",-5.5577580690711,0.463983827982289,-3.2857840802808,0.00250630127062485,0.00642236666219467,-1.52400973122001
"edge_1512_63",-4.03477150886842,0.212253514535239,-3.36881333112337,0.00250717102238656,0.00642236666219467,-1.47227424300528
"edge_2044_9",-3.19256089347675,0.37645798747877,-3.08388364027477,0.00250967056083161,0.00642455941210922,-1.60252746973351
"virus_comp_62_cycle_1_5",-3.97542925611564,0.391416446440727,-3.19937398378785,0.00251317155274601,0.00642884849008609,-1.54753578715683
"virus_comp_3226_cycle_1_8",-3.78512958936094,0.219550579961709,-3.32634728455633,0.00251463528814061,0.00642884849008609,-1.49009445470659
"virus_comp_808_cycle_4_38",-3.84288432917205,0.550141926655278,-3.16257315612566,0.00251824017455089,0.00643003864417915,-1.56788414186268
"virus_comp_18230_cycle_1_11",-3.9475909579152,0.231186243948352,-3.2932948737596,0.00251839067900698,0.00643003864417915,-1.5052374383422
"virus_comp_2215_cycle_1_3",-4.02339512786309,0.438494746339742,-3.27470474520288,0.002521937428008,0.00643489125723452,-1.5144304847887
"virus_comp_17777_cycle_1_1",-4.03965749423896,0.337950817737346,-3.11716962486389,0.00252359641037413,0.00643492391921231,-1.59661793881885
"virus_comp_150_cycle_1_82",-3.83614439968622,0.324554473511233,-3.2819564076904,0.00253167664976221,0.0064480843630967,-1.51555247781949
"virus_comp_2438_cycle_1_2",-3.81858619319509,0.416507051109713,-3.17818879061696,0.0025328945933644,0.0064480843630967,-1.56686142465412
"virus_comp_3264_cycle_1_7",-4.3832928701896,0.878031377022063,-3.26480220531347,0.00253370621174636,0.0064480843630967,-1.52308175116016
"virus_comp_18139_cycle_1_5",-4.42391079327027,0.541534944835079,-3.44009132053637,0.00253617865806895,0.00645017721170562,-1.45843717989121
"virus_comp_155_cycle_2_134",-4.02662293119844,0.40510511886151,-3.49090818237875,0.00254289637249709,0.0064630571652088,-1.42983951149661
"virus_comp_4_cycle_1_2",-3.82108649611971,0.379209738188071,-3.12249749709694,0.00256590786458019,0.00651730594063936,-1.60270428202838
"virus_comp_62_cycle_1_21",-3.88469475981123,0.277938862280369,-3.34321325008258,0.0025746135983991,0.00653517178970265,-1.49846893093849
"edge_284_6",-4.25855633088256,0.402104617409316,-3.10647470485173,0.00257901925288359,0.00654210659281112,-1.61487219669509
"edge_48732_22",-4.28565646064485,0.296374909341444,-3.2657228894456,0.00258265900734352,0.00654709082990001,-1.53524174383912
"virus_comp_150_cycle_1_117",-3.85061345005585,0.285293255863295,-3.18074030627001,0.00259115138362334,0.00656436212481117,-1.58137162609396
"virus_comp_155_cycle_2_144",-4.02772371750252,0.494639963795812,-3.38898018805889,0.00259395267038446,0.00656720271278034,-1.48455033515141
"virus_comp_17138_cycle_1_1",-4.20732968881444,0.4067181105807,-3.17980203779859,0.00259805872366334,0.00657334080957928,-1.57805357214322
"virus_comp_808_cycle_4_26",-3.76860248431572,0.626298994320182,-3.13444620256163,0.00260836590409142,0.00659383732627545,-1.60430034665268
"virus_comp_562_cycle_1_17",-4.11726392343223,0.351163665679099,-3.35190740660226,0.00261380809677034,0.00659383732627545,-1.50501778938214
"virus_comp_150_cycle_1_42",-4.37367175642246,0.699640466881429,-3.12434781338904,0.00261397010564073,0.00659383732627545,-1.61117313064341
"edge_1495_14",-3.92194063972479,0.260635293387511,-3.45131152662757,0.00261424303814408,0.00659383732627545,-1.46423094686381
"virus_comp_195_cycle_1_3",-4.28624630699873,0.402158025031105,-3.45125274644911,0.00261459397690636,0.00659383732627545,-1.46670980662952
"edge_72_18",-4.81939543844044,0.466498687001234,-3.09951780863505,0.00261651685177857,0.00659443222024658,-1.6221307816312
"virus_comp_545_cycle_1_3",-3.80061892047625,0.691422115418816,-3.12905187069307,0.0026196898510539,0.00659817501789284,-1.61675923711558
"virus_comp_17785_cycle_1_2",-3.9408093519658,0.341460829980511,-3.22230845634733,0.00263618439575081,0.00663544417449448,-1.56853689688985
"virus_comp_289_cycle_1_1",-3.78399901154358,0.446330304643403,-3.38076882005395,0.0026455530380846,0.00665474055718964,-1.5013180157287
"virus_comp_1796_cycle_1_7",-3.92334752351483,0.241298482564559,-3.24053746928213,0.0026492039432676,0.00665963872297946,-1.56572237602402
"virus_comp_1171_cycle_1_10",-4.1257875881235,0.27921092601663,-3.15277729393713,0.00265327255321474,0.00666557995534475,-1.60789489873037
"virus_comp_5946_cycle_1_4",-3.73877451214581,0.25206042704549,-3.26299704855574,0.00266103876596746,0.00667969745391946,-1.55658191319096
"edge_2143_39",-4.04749243063614,0.254754869590931,-3.25403476931236,0.0026637726218986,0.00667969745391946,-1.56206302479966
"virus_comp_155_cycle_2_84",-4.02809545338491,0.420333205169663,-3.4700719734025,0.00266431242604511,0.00667969745391946,-1.46982414801352
"virus_comp_317_cycle_1_2",-4.89720003055444,0.351120430440994,-3.31579293672208,0.00266572730317584,0.00667969745391946,-1.53369637978379
"virus_comp_475_cycle_1_87",-3.87309455824079,0.368435740290988,-3.41749039734956,0.00267303272902123,0.00669371232398719,-1.49297465044761
"virus_comp_6640_cycle_1_1",-3.67104217344001,0.254338733096654,-3.1950452477855,0.00267511413052691,0.00669463581064641,-1.59227664821571
"edge_1476_4",-3.77820947674316,0.424482592928718,-3.18801664594401,0.00269183697278442,0.00673217576878714,-1.60086061819608
"virus_comp_126_cycle_1_147",-3.80362357025593,0.240577115992812,-3.25805841038833,0.00269576102977845,0.00673767894207413,-1.56915135249436
"virus_comp_3961_cycle_1_4",-4.26235108717457,0.191904691790734,-3.16625275061397,0.00269976197048016,0.00674336711987665,-1.61501059809273
"virus_comp_2109_cycle_1_5",-3.6955379897336,0.612465908193935,-3.52858055328392,0.00270441317834975,0.00675067120955885,-1.45792081046631
"virus_comp_126_cycle_1_187",-3.80918582827371,0.251134613170346,-3.19995308845756,0.00271541359478966,0.00677380455777459,-1.60227994865182
"virus_comp_2725_cycle_1_6",-3.74994954153529,0.403854722663352,-3.52597758109985,0.00271948178503792,0.00677962646537834,-1.4627141239388
"virus_comp_167_cycle_1_1",-3.73445450418224,0.824008915770711,-3.10874441913753,0.00272410431417842,0.0067803365704753,-1.65547921873189
"virus_comp_2298_cycle_1_3",-4.35992120981122,0.334296699222616,-3.66576247894265,0.00272432445109592,0.0067803365704753,-1.42378245385608
"edge_1468_73",-4.01529604709645,0.570033814031665,-3.12814835680198,0.00272497026150338,0.0067803365704753,-1.6392172964549
"virus_comp_150_cycle_1_39",-3.86606937533859,0.30615092243508,-3.22915862984464,0.00273112987599404,0.00678711479685847,-1.59188393281448
"virus_comp_17907_cycle_1_28",-3.97275441082957,0.199701686039385,-3.23641470146741,0.00273265317982149,0.00678711479685847,-1.5883991406902
"virus_comp_2103_cycle_1_9",-3.5859237939129,0.537807360334716,-3.13440342314183,0.00273290322083787,0.00678711479685847,-1.64179264674862
"virus_comp_8593_cycle_1_1",-3.86687057382282,0.181528358707286,-3.23550949834814,0.00273923619893218,0.00679424625605369,-1.59060315091648
"virus_comp_155_cycle_1_16",-4.02950425260596,0.426600208899339,-3.45767500620745,0.00273925098478911,0.00679424625605369,-1.49360288152369
"virus_comp_155_cycle_2_65",-4.2566794622643,0.592730661869893,-3.10737237211704,0.00274887560794237,0.00681150997077966,-1.65503785838131
