"orf_id","effect","component","group","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"edge_1468_40","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-30",-45.0873683066803,NA,NA,NA,NA,NA
"edge_1468_40","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-36",-44.2473243034825,NA,NA,NA,NA,NA
"edge_1468_40","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-over42",-6.6436359178787,NA,NA,NA,NA,NA
"edge_1468_40","ran_pars","cond","patientID","sd__(Intercept)",2.90187531910117e-14,NA,NA,NA,NA,NA
"edge_1468_41","fixed","cond",NA,"(Intercept)",-25.7794471424335,NA,NA,NA,NA,NA
"edge_1468_41","fixed","cond",NA,"Dx.StatusCELIAC",-6.47066618578499,NA,NA,NA,NA,NA
"edge_1468_41","fixed","cond",NA,"onset_timeline_combinedt0-6",0.828903954525208,NA,NA,NA,NA,NA
"edge_1468_41","fixed","cond",NA,"onset_timeline_combinedt0-12",22.4825152410022,NA,NA,NA,NA,NA
"edge_1468_41","fixed","cond",NA,"onset_timeline_combinedt0-18",22.4056268181886,NA,NA,NA,NA,NA
"edge_1468_41","fixed","cond",NA,"onset_timeline_combinedt0-24",21.7778536088742,NA,NA,NA,NA,NA
"edge_1468_41","fixed","cond",NA,"onset_timeline_combinedt0-30",22.9661248961543,NA,NA,NA,NA,NA
"edge_1468_41","fixed","cond",NA,"onset_timeline_combinedt0-36",22.7285058495921,NA,NA,NA,NA,NA
"edge_1468_41","fixed","cond",NA,"onset_timeline_combinedt0-over42",1.72749713146739,NA,NA,NA,NA,NA
"edge_1468_41","fixed","cond",NA,"SexMale",-2.44024682787439,NA,NA,NA,NA,NA
"edge_1468_41","fixed","cond",NA,"Age.at.Gluten.Introduction..months.",0.290223890450959,NA,NA,NA,NA,NA
"edge_1468_41","fixed","cond",NA,"HLA.CategoryHigh Risk",-1.6718524925687,NA,NA,NA,NA,NA
"edge_1468_41","fixed","cond",NA,"HLA.CategoryLow/No Risk",-71.5129857593813,NA,NA,NA,NA,NA
"edge_1468_41","fixed","cond",NA,"feeding_first_yearFormula",-0.399617076846275,NA,NA,NA,NA,NA
"edge_1468_41","fixed","cond",NA,"feeding_first_yearBreastmilk_and_formula",-0.498090330484532,NA,NA,NA,NA,NA
