"gene","timepoint","estimate","std.error","p.value","conf.low","conf.high","model"
"edge_1468_73","t0-36",17.0165114230533,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_73","t0-over42",-2.70464082604544,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_74","t0-6",-1.81311534404479,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_74","t0-12",17.1103115319914,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_74","t0-18",30.4245983279337,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_74","t0-24",29.8955737445554,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_74","t0-30",-13.0306776781585,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_74","t0-36",28.7387784775134,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_74","t0-over42",1.81760873354351,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_75","t0-6",2.07338456369534,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_75","t0-12",-17.1441613526791,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_75","t0-18",9.5308927252201,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_75","t0-24",3.55382213161067,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_75","t0-30",-11.5223522162489,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_75","t0-36",8.3728529310055,NA,NA,NA,NA,"PA_glmmTMB_logit"
