"","orf","total_PA"
"370","virus_comp_18095_cycle_1_4",7
"371","virus_comp_18118_cycle_1_13",7
"372","virus_comp_18166_cycle_1_4",7
"373","virus_comp_18166_cycle_1_7",7
"374","virus_comp_18182_cycle_1_1",7
"375","virus_comp_18253_cycle_1_1",7
"376","virus_comp_18364_cycle_1_7",7
"377","virus_comp_18480_cycle_1_1",7
"378","virus_comp_18495_cycle_1_3",7
"379","virus_comp_18547_cycle_1_3",7
"380","virus_comp_2119_cycle_1_1",7
"381","virus_comp_2119_cycle_1_2",7
"382","virus_comp_2130_cycle_1_4",7
"383","virus_comp_2139_cycle_1_11",7
"384","virus_comp_2248_cycle_1_15",7
"385","virus_comp_2393_cycle_1_1",7
"386","virus_comp_2394_cycle_1_1",7
"387","virus_comp_2394_cycle_1_7",7
"388","virus_comp_2396_cycle_1_6",7
"389","virus_comp_2396_cycle_1_9",7
"390","virus_comp_2438_cycle_1_1",7
"391","virus_comp_2438_cycle_1_3",7
"392","virus_comp_2475_cycle_5_4",7
"393","virus_comp_2475_cycle_5_9",7
"394","virus_comp_250_cycle_1_1",7
"395","virus_comp_250_cycle_1_104",7
"396","virus_comp_250_cycle_1_107",7
"397","virus_comp_250_cycle_1_127",7
"398","virus_comp_250_cycle_1_141",7
"399","virus_comp_250_cycle_1_146",7
"400","virus_comp_250_cycle_1_155",7
"401","virus_comp_250_cycle_1_162",7
"402","virus_comp_250_cycle_1_164",7
"403","virus_comp_250_cycle_1_167",7
"404","virus_comp_250_cycle_1_172",7
"405","virus_comp_250_cycle_1_205",7
"406","virus_comp_250_cycle_1_208",7
"407","virus_comp_250_cycle_1_257",7
"408","virus_comp_250_cycle_1_261",7
"409","virus_comp_250_cycle_1_29",7
"410","virus_comp_250_cycle_1_45",7
"411","virus_comp_250_cycle_1_50",7
"412","virus_comp_250_cycle_1_84",7
"413","virus_comp_2552_cycle_1_1",7
"414","virus_comp_2760_cycle_1_7",7
"415","virus_comp_280_cycle_1_4",7
"416","virus_comp_2968_cycle_1_2",7
"417","virus_comp_2968_cycle_1_7",7
"418","virus_comp_3157_cycle_1_13",7
"419","virus_comp_3167_cycle_1_2",7
"420","virus_comp_3464_cycle_1_6",7
"421","virus_comp_3571_cycle_1_5",7
"422","virus_comp_36_cycle_2_15",7
"423","virus_comp_36_cycle_2_16",7
"424","virus_comp_36_cycle_2_19",7
"425","virus_comp_36_cycle_2_3",7
"426","virus_comp_3629_cycle_1_4",7
"427","virus_comp_3930_cycle_1_11",7
"428","virus_comp_407_cycle_1_12",7
"429","virus_comp_407_cycle_1_20",7
"430","virus_comp_407_cycle_1_39",7
"431","virus_comp_410_cycle_1_3",7
"432","virus_comp_4442_cycle_1_4",7
"433","virus_comp_4442_cycle_1_5",7
"434","virus_comp_4511_cycle_1_5",7
"435","virus_comp_465_cycle_1_20",7
"436","virus_comp_4763_cycle_1_2",7
"437","virus_comp_490_cycle_1_4",7
"438","virus_comp_505_cycle_1_12",7
"439","virus_comp_589_cycle_1_72",7
"440","virus_comp_593_cycle_1_116",7
"441","virus_comp_593_cycle_1_59",7
"442","virus_comp_593_cycle_1_60",7
"443","virus_comp_593_cycle_1_61",7
"444","virus_comp_593_cycle_1_63",7
"445","virus_comp_593_cycle_1_68",7
"446","virus_comp_593_cycle_1_69",7
"447","virus_comp_593_cycle_1_80",7
"448","virus_comp_593_cycle_1_94",7
"449","virus_comp_60_cycle_1_23",7
"450","virus_comp_6129_cycle_1_3",7
"451","virus_comp_6408_cycle_1_2",7
"452","virus_comp_6408_cycle_1_3",7
"453","virus_comp_6559_cycle_1_1",7
"454","virus_comp_6916_cycle_1_3",7
"455","virus_comp_7041_cycle_1_2",7
"456","virus_comp_722_cycle_1_48",7
"457","virus_comp_7248_cycle_1_3",7
"458","virus_comp_729_cycle_1_13",7
"459","virus_comp_729_cycle_1_15",7
"460","virus_comp_729_cycle_1_48",7
"461","virus_comp_729_cycle_1_65",7
"462","virus_comp_73_cycle_1_11",7
"463","virus_comp_73_cycle_1_7",7
"464","virus_comp_733_cycle_1_22",7
"465","virus_comp_733_cycle_1_27",7
"466","virus_comp_733_cycle_1_28",7
"467","virus_comp_733_cycle_1_45",7
"468","virus_comp_7391_cycle_1_5",7
"469","virus_comp_7998_cycle_1_5",7
"470","virus_comp_808_cycle_4_10",7
"471","virus_comp_808_cycle_4_18",7
"472","virus_comp_808_cycle_4_20",7
"473","virus_comp_808_cycle_4_28",7
"474","virus_comp_808_cycle_4_30",7
"475","virus_comp_808_cycle_4_38",7
"476","virus_comp_808_cycle_4_47",7
"477","virus_comp_8506_cycle_1_3",7
"478","virus_comp_8507_cycle_1_3",7
"479","virus_comp_853_cycle_1_25",7
"480","virus_comp_853_cycle_1_56",7
"481","virus_comp_876_cycle_1_11",7
"482","virus_comp_876_cycle_1_8",7
"483","virus_comp_88_cycle_1_9",7
"484","virus_comp_887_cycle_1_27",7
"485","virus_comp_905_cycle_1_16",7
"486","virus_comp_9132_cycle_1_4",7
"487","virus_comp_952_cycle_1_14",7
"488","virus_comp_952_cycle_1_6",7
"489","virus_comp_9681_cycle_1_1",7
"490","virus_comp_984_cycle_1_14",7
"491","virus_comp_984_cycle_1_36",7
"492","edge_1501_16",7
"493","edge_187_11",7
"494","edge_187_7",7
"495","edge_187_9",7
"496","edge_1987_4",7
"497","edge_2194_2",7
"498","edge_2254_3",7
"499","edge_2254_7",7
"500","edge_2381_18",7
"501","edge_2381_29",7
"502","edge_2381_4",7
"503","edge_2381_41",7
"504","edge_2381_9",7
"505","edge_2484_38",7
"506","edge_2486_42",7
"507","edge_263_1",7
"508","edge_263_20",7
"509","edge_263_21",7
"510","edge_263_29",7
"511","edge_263_34",7
"512","edge_263_36",7
"513","edge_263_4",7
"514","edge_295_10",7
"515","edge_300_1",7
"516","edge_303_10",7
"517","edge_303_11",7
"518","edge_303_5",7
"519","edge_329_17",7
"520","edge_330_19",7
"521","edge_330_23",7
"522","edge_330_25",7
"523","edge_330_28",7
"524","edge_330_30",7
"525","edge_330_44",7
"526","edge_3739_8",7
"527","edge_48806_11",7
"528","edge_48806_7",7
"529","edge_61_33",7
"530","edge_957_35",7
"531","edge_959_24",7
"532","edge_959_59",7
"533","edge_959_7",7
"534","edge_959_95",7
"535","edge_965_27",7
"536","edge_965_4",7
"537","virus_comp_1035_cycle_1_3",6
"538","virus_comp_1036_cycle_1_3",6
"539","virus_comp_10613_cycle_1_1",6
"540","virus_comp_1069_cycle_1_4",6
"541","virus_comp_10784_cycle_1_1",6
"542","virus_comp_10904_cycle_1_1",6
"543","virus_comp_1131_cycle_2_28",6
"544","virus_comp_1131_cycle_2_3",6
"545","virus_comp_1135_cycle_1_1",6
"546","virus_comp_1135_cycle_1_2",6
"547","virus_comp_1135_cycle_1_3",6
"548","virus_comp_1146_cycle_3_10",6
"549","virus_comp_1146_cycle_3_16",6
"550","virus_comp_1146_cycle_3_5",6
"551","virus_comp_1146_cycle_3_6",6
"552","virus_comp_1146_cycle_3_7",6
"553","virus_comp_1146_cycle_3_9",6
"554","virus_comp_1147_cycle_1_2",6
"555","virus_comp_1173_cycle_1_4",6
"556","virus_comp_1173_cycle_1_6",6
"557","virus_comp_12_cycle_1_7",6
"558","virus_comp_12269_cycle_1_1",6
"559","virus_comp_1307_cycle_1_3",6
"560","virus_comp_1420_cycle_1_1",6
"561","virus_comp_14204_cycle_1_2",6
"562","virus_comp_14703_cycle_1_3",6
"563","virus_comp_14843_cycle_1_2",6
"564","virus_comp_14970_cycle_1_1",6
"565","virus_comp_14977_cycle_1_1",6
"566","virus_comp_15100_cycle_1_1",6
"567","virus_comp_1517_cycle_1_10",6
"568","virus_comp_1517_cycle_1_7",6
"569","virus_comp_1533_cycle_1_3",6
"570","virus_comp_1544_cycle_1_14",6
"571","virus_comp_16041_cycle_1_1",6
"572","virus_comp_16041_cycle_1_3",6
"573","virus_comp_16189_cycle_1_1",6
"574","virus_comp_16215_cycle_1_1",6
"575","virus_comp_1660_cycle_1_10",6
"576","virus_comp_16682_cycle_1_1",6
"577","virus_comp_1706_cycle_1_1",6
"578","virus_comp_1706_cycle_1_5",6
"579","virus_comp_1740_cycle_1_10",6
"580","virus_comp_17783_cycle_1_2",6
"581","virus_comp_17783_cycle_1_6",6
"582","virus_comp_17787_cycle_1_1",6
"583","virus_comp_17787_cycle_1_13",6
"584","virus_comp_17787_cycle_1_5",6
"585","virus_comp_17787_cycle_1_6",6
"586","virus_comp_17787_cycle_1_7",6
"587","virus_comp_17787_cycle_1_8",6
"588","virus_comp_17832_cycle_1_4",6
"589","virus_comp_17861_cycle_1_31",6
"590","virus_comp_17861_cycle_1_55",6
"591","virus_comp_17866_cycle_1_56",6
"592","virus_comp_17866_cycle_1_59",6
"593","virus_comp_17870_cycle_1_6",6
"594","virus_comp_17874_cycle_1_2",6
"595","virus_comp_17889_cycle_1_14",6
"596","virus_comp_17889_cycle_1_25",6
"597","virus_comp_17889_cycle_1_31",6
"598","virus_comp_17889_cycle_1_35",6
"599","virus_comp_17889_cycle_1_36",6
"600","virus_comp_17889_cycle_1_37",6
"601","virus_comp_17889_cycle_1_62",6
"602","virus_comp_17889_cycle_1_63",6
"603","virus_comp_17889_cycle_1_7",6
"604","virus_comp_17896_cycle_1_6",6
"605","virus_comp_17903_cycle_1_10",6
"606","virus_comp_17903_cycle_1_16",6
"607","virus_comp_17903_cycle_1_29",6
"608","virus_comp_17903_cycle_1_31",6
"609","virus_comp_17903_cycle_1_32",6
"610","virus_comp_17903_cycle_1_47",6
"611","virus_comp_17903_cycle_1_7",6
"612","virus_comp_17903_cycle_1_9",6
"613","virus_comp_17910_cycle_1_20",6
"614","virus_comp_17910_cycle_1_27",6
"615","virus_comp_17910_cycle_1_8",6
"616","virus_comp_17914_cycle_1_5",6
"617","virus_comp_17920_cycle_1_3",6
"618","virus_comp_17920_cycle_1_4",6
"619","virus_comp_17920_cycle_1_5",6
"620","virus_comp_17934_cycle_1_1",6
"621","virus_comp_17935_cycle_1_21",6
"622","virus_comp_17935_cycle_1_22",6
"623","virus_comp_17955_cycle_1_13",6
"624","virus_comp_17992_cycle_1_13",6
"625","virus_comp_17992_cycle_1_14",6
"626","virus_comp_17992_cycle_1_15",6
"627","virus_comp_18030_cycle_1_13",6
"628","virus_comp_18042_cycle_1_12",6
"629","virus_comp_18042_cycle_1_6",6
"630","virus_comp_18095_cycle_1_1",6
"631","virus_comp_18095_cycle_1_3",6
"632","virus_comp_18118_cycle_1_3",6
"633","virus_comp_18118_cycle_1_7",6
"634","virus_comp_18162_cycle_1_10",6
"635","virus_comp_18162_cycle_1_5",6
"636","virus_comp_18162_cycle_1_6",6
"637","virus_comp_18162_cycle_1_7",6
"638","virus_comp_18162_cycle_1_9",6
