,02_GEMM_020_12M,02_GEMM_020_18M,02_GEMM_020_24M,02_GEMM_020_30M,02_GEMM_021_12M,02_GEMM_021_18M,02_GEMM_021_24M,02_GEMM_021_30M,02_GEMM_021_48M,02_GEMM_021_60M,02_GEMM_024_12M,02_GEMM_024_18M,02_GEMM_031_12M,02_GEMM_031_18M,02_GEMM_031_24M,02_GEMM_041_12M,02_GEMM_045_12M,02_GEMM_045_18M,02_GEMM_045_24M,02_GEMM_045_30M,02_GEMM_045_36M,02_GEMM_058_12M,02_GEMM_058_18M,02_GEMM_134_12M,02_GEMM_134_18M,02_GEMM_134_30M,02_GEMM_134_36M,02_GEMM_134_48M,02_GEMM_141_12M,02_GEMM_141_18M,02_GEMM_151_12M,02_GEMM_151_18M,02_GEMM_158_12M,02_GEMM_158_18M,02_GEMM_177_12M,02_GEMM_177_18M,02_GEMM_177_24M,02_GEMM_177_30M,02_GEMM_177_36M,02_GEMM_177_48M,02_GEMM_179_18M,02_GEMM_179_24M,02_GEMM_179_30M,02_GEMM_194_12M,02_GEMM_194_18M,02_GEMM_228_12M,02_GEMM_228_30M
contig_11585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,0,0,0,0,0
contig_11587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4422,10474,3096,0,0,0,3060,0,0,0,0,0,693,0,0,30900,1465,0,0,0,0,0,0,0,0,0,0,0,0,869,0
contig_11648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2492,0,0,0,0,2589,0,0,0,0,0
contig_11703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1905,0,0,0,0
contig_11775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59019,2518,2927,4408,0,0,0,0,500,0,719,0,0,0,0,0,0,0,6910,1184,0,36604,3758,0,0,0,0,4160,0,0
contig_11791,1985,4277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4361,0,0,0,11323,0,0,662,0,0,0,1523,3911,0,0
contig_11823,1191,1265,5273,0,0,0,0,0,0,0,0,0,0,0,688,0,0,4321,3605,1688,134,0,3544,0,0,231,162,523,0,0,0,8722,493,0,0,156,2148,0,2999,340,0,209,0,0,0,0,7859
contig_11838,0,0,0,0,0,0,0,0,0,0,0,0,306,0,0,18165,1091,519,0,0,0,0,0,381,0,0,0,0,0,0,0,0,0,3048,0,0,0,0,0,0,0,0,0,5714,0,0,0
contig_11846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34349,133,0,0,0,0,0,0,11104
contig_11876,0,0,0,0,0,0,0,0,134,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
