"orf_id","gene","timepoint","estimate","std.error","p.value","conf.low","conf.high","model","p.adj","n_tests_gene"
"edge_1468_42","edge_1468_42","t0-6",-2.49469651093992,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_42","edge_1468_42","t0-12",-18.6491849781741,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_42","edge_1468_42","t0-18",-5.1326150985288,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_42","edge_1468_42","t0-24",34.1252604677088,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_42","edge_1468_42","t0-30",-24.5579081743685,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_42","edge_1468_42","t0-36",44.37088337266,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_42","edge_1468_42","t0-over42",-2.64267481183035,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_43","edge_1468_43","t0-6",-4.15382891824388,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_43","edge_1468_43","t0-12",2.59328750944462,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_43","edge_1468_43","t0-18",41.0709886056548,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_43","edge_1468_43","t0-24",5.38853328101674,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_43","edge_1468_43","t0-30",-28.5260638311871,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_43","edge_1468_43","t0-36",9.25849585618689,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_43","edge_1468_43","t0-over42",-4.70479927383429,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_44","edge_1468_44","t0-6",-135.425333293556,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_44","edge_1468_44","t0-12",-82.8513896729978,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_44","edge_1468_44","t0-18",-82.9533379882196,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_44","edge_1468_44","t0-24",-131.599757254618,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_44","edge_1468_44","t0-30",-98.1556827556784,NA,NA,NA,NA,"abundance_nbinom",NA,7
