"orf_id","term","estimate","std.error","statistic","p.value","p.adj","conf.low","conf.high","OR","source"
"edge_1501_9","TP (CELIAC): (t0-12) vs t0",154.447311624605,NA,NA,NA,NA,NA,NA,1.19018694807088e+67,"model_or_emmeans"
"edge_1501_9","TP (CELIAC): (t0-18) vs t0",-251.028517201706,NA,NA,NA,NA,NA,NA,9.54333521524699e-110,"model_or_emmeans"
"edge_1501_9","TP (CELIAC): (t0-24) vs t0",-269.109110250509,NA,NA,NA,NA,NA,NA,1.34090616747114e-117,"model_or_emmeans"
"edge_1501_9","TP (CELIAC): (t0-30) vs t0",-5.76957388962996,NA,NA,NA,NA,NA,NA,0.00312108715846128,"model_or_emmeans"
"edge_1501_9","TP (CELIAC): (t0-36) vs t0",-5.76957388962996,NA,NA,NA,NA,NA,NA,0.00312108715846128,"model_or_emmeans"
"edge_1501_9","TP (CELIAC): (t0-6) vs t0",-77.9055688878183,NA,NA,NA,NA,NA,NA,1.46568729233079e-34,"model_or_emmeans"
"edge_1501_9","TP (CELIAC): (t0-over42) vs t0",9.12292553979733,NA,NA,NA,NA,NA,NA,9162.96907338884,"model_or_emmeans"
"edge_1512_1","TP (CELIAC): (t0-12) vs t0",-27.6248054522965,NA,NA,NA,NA,NA,NA,1.00623502095468e-12,"model_or_emmeans"
"edge_1512_1","TP (CELIAC): (t0-18) vs t0",-28.8239229870555,NA,NA,NA,NA,NA,NA,3.03339732827942e-13,"model_or_emmeans"
"edge_1512_1","TP (CELIAC): (t0-24) vs t0",-42.7486635316922,NA,NA,NA,NA,NA,NA,2.71951412869243e-19,"model_or_emmeans"
"edge_1512_1","TP (CELIAC): (t0-30) vs t0",-46.4553020101425,NA,NA,NA,NA,NA,NA,6.67911131974664e-21,"model_or_emmeans"
"edge_1512_1","TP (CELIAC): (t0-36) vs t0",-37.3158648922209,NA,NA,NA,NA,NA,NA,6.22193958593309e-17,"model_or_emmeans"
"edge_1512_1","TP (CELIAC): (t0-6) vs t0",-16.595630652601,NA,NA,NA,NA,NA,NA,6.20310573327176e-08,"model_or_emmeans"
"edge_1512_1","TP (CELIAC): (t0-over42) vs t0",-35.0565312924459,NA,NA,NA,NA,NA,NA,5.9585680697572e-16,"model_or_emmeans"
"edge_1631_46","TP (CELIAC): (t0-12) vs t0",-380.771904046994,NA,NA,NA,NA,NA,NA,4.2940115532835e-166,"model_or_emmeans"
