old_id	new_id
virus_comp_1492_cycle_1	sample-1_576_10468
virus_comp_18016_cycle_1	sample-1_577_10459
virus_comp_1493_cycle_1	sample-1_578_10435
virus_comp_1496_cycle_1	sample-1_579_10390
virus_comp_1499_cycle_1	sample-1_580_10379
edge_48908	sample-1_581_10299
virus_comp_1514_cycle_1	sample-1_582_10287
virus_comp_1516_cycle_1	sample-1_583_10285
virus_comp_18055_cycle_1	sample-1_584_10280
virus_comp_1517_cycle_1	sample-1_585_10273
virus_comp_1518_cycle_1	sample-1_586_10258
virus_comp_17826_cycle_1	sample-1_587_10258
virus_comp_18020_cycle_1	sample-1_588_10231
virus_comp_1522_cycle_1	sample-1_589_10192
virus_comp_17961_cycle_1	sample-1_590_10182
virus_comp_1523_cycle_1	sample-1_591_10172
virus_comp_18021_cycle_1	sample-1_592_10172
virus_comp_1528_cycle_1	sample-1_593_10166
virus_comp_1524_cycle_1	sample-1_594_10162
virus_comp_1525_cycle_1	sample-1_595_10159
virus_comp_1530_cycle_1	sample-1_596_10133
virus_comp_17977_cycle_1	sample-1_597_10124
virus_comp_1536_cycle_1	sample-1_598_10085
