qname	tname	num_alns	pid	qcov	tcov
sample-1_9_104613	MT774398_1_100198	19	79.52	15.66	16.35
sample-1_9_104613	3300007714_____Ga0105661_1000061	10	77.98	12.83	13.24
sample-1_9_104613	sample-1_11_101626	6	78.4	7.88	8.16
sample-1_9_104613	MN037_S1_79	14	77.81	14.43	15.0
sample-1_9_104613	OLWW01000036	13	78.63	12.56	13.09
sample-1_9_104613	OLNQ01000088	10	76.3	10.37	10.79
sample-1_9_104613	ERR589777_NODE_213_length_102559_cov_114.718	9	75.78	9.6	9.8
sample-1_9_104613	OHFX01000006	1	96.95	0.5	0.28
sample-1_9_104613	OCPX01000081	1	77.48	1.28	1.32
sample-1_9_104613	ERR589843_NODE_134_length_102073_cov_9.78706	4	74.85	3.65	3.77
sample-1_9_104613	MT774375_1_98826	3	77.22	1.89	2.0
sample-1_9_104613	ERR843949_ms_1	3	73.88	2.26	2.39
sample-1_9_104613	OLRA01000126	4	74.07	2.03	2.07
sample-1_9_104613	OCHL01000028	1	84.48	0.28	0.16
sample-1_9_104613	MZ130491_1_98573	2	72.23	1.5	1.6
sample-1_9_104613	OLPB01000025	1	77.8	0.42	0.43
sample-1_9_104613	phage_2	1	92.96	0.07	0.04
sample-1_9_104613	MZ130477_1_100971	1	71.55	0.45	0.45
sample-1_9_104613	sample-1_2895_2535	1	85.71	0.08	3.2
sample-1_9_104613	OLOE01000004	1	80.18	0.1	0.06
sample-1_9_104613	MT774379_1_92600	1	86.67	0.06	0.06
sample-1_9_104613	OLYV01000018	1	80.25	0.08	0.05
sample-1_4798_1110	MZ130478_1_100314	1	73.21	38.29	0.42
sample-1_4798_1110	NG-14253_56xxx_lib223972_5684_NODE_1_length_101680_cov_95.3006	1	73.21	38.29	0.42
sample-1_11_101626	sample-1_9_104613	6	78.39	8.16	7.88
sample-1_11_101626	MT774405_1_99848	8	78.99	8.35	8.5
sample-1_11_101626	MZ130493_1_100650	10	77.14	9.58	9.67
sample-1_11_101626	3300007714_____Ga0105661_1000061	9	77.86	9.49	9.52
sample-1_11_101626	sample-1_12_101623	8	77.09	9.16	9.17
sample-1_11_101626	MT774396_1_101153	8	77.85	8.2	8.25
sample-1_11_101626	MT774395_1_103665	7	75.9	9.7	9.48
sample-1_11_101626	OLWW01000036	11	76.14	12.68	12.84
sample-1_11_101626	sample-1_13_99291	10	75.65	7.94	8.06
sample-1_11_101626	MN037_S1_79	14	76.98	14.14	14.3
sample-1_11_101626	NG-14571_115xxx_NODE_1_length_101130_cov_1132.63	7	77.44	9.09	9.13
sample-1_11_101626	MT774400_1_96055	9	76.98	8.88	9.43
sample-1_11_101626	3300014788_____Ga0134381_1000049	9	78.71	9.1	8.92
sample-1_11_101626	MT774398_1_100198	7	76.58	7.79	7.89
sample-1_11_101626	HvCF_E4_ms_4	8	76.72	11.0	10.66
sample-1_11_101626	NG-15813_95_lib254056_NODE_1_length_102100_cov_1588.91	8	76.55	10.63	10.57
sample-1_11_101626	MT774397_1_97290	5	74.97	5.7	5.95
sample-1_11_101626	OLNQ01000088	5	76.18	8.29	8.38
sample-1_11_101626	ERR589777_NODE_213_length_102559_cov_114.718	5	75.37	7.97	7.9
sample-1_11_101626	OCPX01000081	4	75.22	3.45	3.44
sample-1_11_101626	OLPB01000025	3	76.83	1.49	1.49
sample-1_11_101626	ERR589843_NODE_134_length_102073_cov_9.78706	4	75.21	3.0	2.99
sample-1_11_101626	MT774375_1_98826	2	74.3	2.8	2.88
sample-1_11_101626	MT774378_1_101662	2	82.24	0.94	0.94
sample-1_11_101626	MT774388_1_102301	2	83.79	1.08	1.07
sample-1_11_101626	OLNZ01000083	1	74.76	0.89	0.86
sample-1_11_101626	OMGK01000003	2	89.6	0.2	0.1
sample-1_11_101626	OGTB01000008	1	89.26	0.12	0.06
sample-1_11_101626	PPYE01511035	1	89.74	0.08	0.04
sample-1_11_101626	OHMA01000001	2	94.17	0.12	0.06
sample-1_11_101626	OKSX01000010	2	92.31	0.13	0.07
sample-1_11_101626	OGQH01000028	2	91.94	0.12	0.06
sample-1_11_101626	ERR843949_ms_1	1	100.0	0.05	0.05
sample-1_11_101626	MZ130477_1_100971	1	100.0	0.05	0.05
sample-1_11_101626	OLRA01000126	1	100.0	0.05	0.04
sample-1_11_101626	MT774379_1_92600	1	97.96	0.05	0.05
sample-1_11_101626	OHFX01000006	1	94.44	0.04	0.02
UMIU01010253	OBJP01000075	20	76.61	48.21	48.09
UMIU01010253	MT774383_1_93559	20	76.17	51.54	51.73
UMIU01010253	NG-15813_44_lib254059_NODE_1_length_93391_cov_9.27449	3	74.6	3.74	3.76
UMIU01010253	MZ130481_1_98001	7	73.98	6.34	6.07
UMIU01010253	OLGJ01000028	7	75.49	7.92	7.45
UMIU01010253	MH616963_1_94878	6	74.38	3.1	3.05
UMIU01010253	OGQI01000045	2	73.69	1.64	1.66
UMIU01010253	3300007714_____Ga0105661_1000061	1	84.17	0.46	0.43
UMIU01010253	OBJF01000120	3	75.6	2.33	2.34
UMIU01010253	MT774394_1_92815	2	71.23	2.37	2.4
UMIU01010253	MT774381_1_91101	1	70.78	2.08	2.14
UMIU01010253	MH552500_1_90023	1	71.21	1.54	1.61
UMIU01010253	OLGH01000138	1	79.56	0.24	0.24
UMIU01010253	SRR4295175_ms_5	1	77.87	0.25	0.24
UMIU01010253	MT774377_1_93787	1	77.97	0.25	0.25
UMIU01010253	3300008513_____Ga0111022_100109	1	77.97	0.25	0.24
UMIU01010253	sample-1_1_194036	2	77.87	0.25	0.24
UMIU01010253	MZ130488_1_91714	2	71.12	1.01	1.02
UMIU01010253	EM181_T3_ms_1	1	92.31	0.04	0.04
KJ003983_1_99915	MT774389_1_101082	27	83.75	30.73	30.33
KJ003983_1_99915	MN019_S19_74	5	78.48	5.56	5.51
