"contig_id","effect","component","group","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"edge_4","fixed","cond",NA,"SexMale",-33.5919568692142,NA,NA,NA,NA,NA
"edge_4","fixed","cond",NA,"Age.at.Gluten.Introduction..months.",-0.220945960080745,NA,NA,NA,NA,NA
"edge_4","fixed","cond",NA,"HLA.CategoryHigh Risk",0.246434394493638,NA,NA,NA,NA,NA
"edge_4","fixed","cond",NA,"HLA.CategoryLow/No Risk",3.89110054042339,NA,NA,NA,NA,NA
"edge_4","fixed","cond",NA,"feeding_first_yearFormula",-0.5651312465664,NA,NA,NA,NA,NA
"edge_4","fixed","cond",NA,"feeding_first_yearBreastmilk_and_formula",-1.38621407718273,NA,NA,NA,NA,NA
"edge_4","fixed","cond",NA,"Delivery.ModeC-Section",-1.61958358633264,NA,NA,NA,NA,NA
"edge_4","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-6",-4.37203948427096,NA,NA,NA,NA,NA
"edge_4","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-12",-5.16887139002348,NA,NA,NA,NA,NA
"edge_4","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-18",27.6404167155109,NA,NA,NA,NA,NA
"edge_4","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-24",-34.1288858605628,NA,NA,NA,NA,NA
"edge_4","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-30",-37.6679228615066,NA,NA,NA,NA,NA
"edge_4","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-36",-1.45512643053199,NA,NA,NA,NA,NA
"edge_4","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-over42",-0.292722718812002,NA,NA,NA,NA,NA
"edge_4","ran_pars","cond","patientID","sd__(Intercept)",3.59475097120203,NA,NA,NA,NA,NA
"edge_48666","fixed","cond",NA,"(Intercept)",-37.0284087150376,NA,NA,NA,NA,NA
"edge_48666","fixed","cond",NA,"Dx.StatusCELIAC",-6.48376208806993,NA,NA,NA,NA,NA
"edge_48666","fixed","cond",NA,"onset_timeline_combinedt0-6",33.9252970424281,NA,NA,NA,NA,NA
